session,treat,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,int_1,int_2,int_3,int_4,ben_1,ben_2,ben_3,ben_4,meas_rep,tsm_1,tsm_2,tsm_3,tsm_4,age,semester,sex,tch_1,tch_2,tch_3,tch_4,tch_5
cumo6sX-pTGMXc_caDkkw0eDl0I4MlHdpILCoNSJnyG4z2aLUxTF4mzeb1DBiizu,CC,4,3,4,4,3,4,3,3,3,3,3,3,3,3,2,2,4,2,4,21,7,2,1,-999,-999,-999,-999
nGIh1JI-sRkjDszfDUjZfmSOUPXGTYGnjftxJBa4Rov2s9ZpcWM1Jq1syF3Ip6IW,GB,6,5,5,5,6,5,6,5,5,5,4,4,5,5,1,1,1,1,2,29,9,2,1,1,1,1,1
nGIh1JI-sRkjDszfDUjZfmSOUPXGTYGnjftxJBa4Rov2s9ZpcWM1Jq1syF3Ip6IW,CC,5,5,6,5,6,5,6,4,5,6,4,6,4,5,2,1,2,2,2,29,9,2,2,2,1,2,2
apj5LlTuriV1dY89uu1J_uslK4br7GNsqA5iCIAgMo-_TItrggsF3Hx4rhT770y-,GB,6,5,6,3,6,6,4,2,4,2,3,4,4,4,1,4,3,3,3,25,11,2,1,1,1,1,1
apj5LlTuriV1dY89uu1J_uslK4br7GNsqA5iCIAgMo-_TItrggsF3Hx4rhT770y-,CC,5,5,6,6,7,6,6,4,6,7,6,4,5,6,2,1,2,2,1,25,11,2,3,4,-999,3,-999
Y7ILlGdlvua0iusJbAhwLavzlCBBBwSfeEqEFtJiBaSNeDS9-1jBr11g375AkqRJ,GB,5,6,6,5,5,5,4,6,4,4,4,4,4,4,1,1,1,1,2,28,12,2,1,1,-999,2,-999
Y7ILlGdlvua0iusJbAhwLavzlCBBBwSfeEqEFtJiBaSNeDS9-1jBr11g375AkqRJ,CC,6,6,6,7,7,6,4,4,4,4,4,4,4,4,2,1,1,2,3,28,12,2,1,1,1,2,1
gn50U3_X1og26Pm7X2XIADhTAOHCoQ_0TbUSpAFeFWr_TlDhFqhpjHBqQU5hA3fw,GB,6,7,4,7,5,6,5,5,7,7,7,7,7,5,1,3,3,2,2,27,3,2,1,1,1,1,1
gn50U3_X1og26Pm7X2XIADhTAOHCoQ_0TbUSpAFeFWr_TlDhFqhpjHBqQU5hA3fw,CC,4,5,4,5,5,6,6,5,4,5,6,5,5,6,2,2,4,3,3,27,3,2,1,1,1,1,1
f8bBgGch7vpvm2b5ICzNlz_HSRA122emdkYQgXTn3kauU-vuXMkgCAFr4HIFim6B,GB,7,6,6,7,6,6,7,7,7,7,7,7,7,7,1,1,1,1,2,25,3,2,1,1,1,1,1
f8bBgGch7vpvm2b5ICzNlz_HSRA122emdkYQgXTn3kauU-vuXMkgCAFr4HIFim6B,CC,5,5,5,5,5,5,6,7,6,6,7,7,7,6,2,2,1,3,1,25,3,2,1,-999,-999,1,1
jADy2f5B7thWtBmi7iiSmnWMMJsF7J1-ZTaunAiPuMJQoXkpitkzp2sceR0m0IvV,GB,6,5,6,6,6,6,6,6,5,5,5,5,6,5,1,1,2,2,3,22,1,2,3,2,-999,2,2
jADy2f5B7thWtBmi7iiSmnWMMJsF7J1-ZTaunAiPuMJQoXkpitkzp2sceR0m0IvV,CC,5,6,6,6,6,6,6,6,6,6,5,6,5,4,2,3,2,2,3,22,1,2,3,3,2,3,2
5W1biJIKoF_MPfRYSL4pdLf5wI0ALJSBgvC7dVbk7Xi8DFi7Hvxv7kSKUTO6GqtW,GB,6,6,6,6,6,6,5,5,5,6,5,5,5,5,1,2,3,2,2,23,9,1,1,1,1,2,1
5W1biJIKoF_MPfRYSL4pdLf5wI0ALJSBgvC7dVbk7Xi8DFi7Hvxv7kSKUTO6GqtW,CC,6,5,6,5,5,6,4,4,5,5,4,5,5,5,2,2,2,2,3,23,9,1,2,2,2,2,2
S_tUZLU4DOjr5mgeOd4_Z29yCUq1Al83IhcOLyxWqBzIRqtc0Pj7w-CIFoBobIcR,GB,6,6,6,6,6,6,5,6,6,6,6,6,5,5,1,2,2,2,3,20,5,2,2,2,1,3,-999
