session,treat,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,int_1,int_2,int_3,int_4,ben_1,ben_2,ben_3,ben_4,meas_rep,tsm_1,tsm_2,tsm_3,tsm_4,age,semester,sex,tch_1,tch_2,tch_3,tch_4,tch_5
DXsQk7UccyR4R7KXnqMGwFpbJcvkFNRYG6Y4sHiYmbwzzharxjIcOHlkfSKHAxUz,GB,7,7,6,7,6,7,6,7,7,7,4,4,4,4,2,1,1,1,1,21,3,1,3,1,1,-999,1
jvr7I1OaAIvSK-fPdY182nmdr8FIS8p4Q8F8zZHmVmE1bYeutgA2odFvhAp_F6fw,CC,6,5,4,6,4,5,5,4,5,6,7,4,5,5,1,1,1,3,4,21,4,2,2,-999,-999,3,-999
jvr7I1OaAIvSK-fPdY182nmdr8FIS8p4Q8F8zZHmVmE1bYeutgA2odFvhAp_F6fw,GB,5,5,5,5,6,5,5,5,6,6,4,5,6,5,2,1,1,2,4,21,4,2,1,1,1,2,1
_CYt7eW4UeH0XKtMb2Ejn9UbvrSNRt-5Av48CqeDXFCUgNCtzXiF6HB_VfS32ZSp,CC,4,4,4,4,3,5,4,5,4,5,5,6,5,4,1,2,2,2,2,24,12,2,1,-999,-999,1,-999
_CYt7eW4UeH0XKtMb2Ejn9UbvrSNRt-5Av48CqeDXFCUgNCtzXiF6HB_VfS32ZSp,GB,5,5,6,6,5,5,5,5,4,5,5,4,5,4,2,1,1,2,2,24,12,2,3,3,1,4,1
KNDWyiC8FGMsCqXla362iuvOSDfm2bsCI2hX2t5OaKV0COkUYIXz2hsjoxSpJNGb,CC,6,5,6,5,5,6,7,6,6,5,6,6,7,6,1,1,1,4,1,19,1,2,3,-999,4,4,4
KNDWyiC8FGMsCqXla362iuvOSDfm2bsCI2hX2t5OaKV0COkUYIXz2hsjoxSpJNGb,GB,7,7,7,7,6,7,7,7,7,7,7,7,7,7,2,1,1,4,1,19,1,2,4,-999,4,4,4
O6UvZRdG-NcwSWVawlWBphQJMg0OuDt3Q9cF0qzpHPj3kkHfHU5WrB7-wWS4HWSw,CC,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,3,2,3,22,1,2,2,4,3,3,4
O6UvZRdG-NcwSWVawlWBphQJMg0OuDt3Q9cF0qzpHPj3kkHfHU5WrB7-wWS4HWSw,GB,5,5,4,5,4,4,5,4,4,4,5,4,4,4,2,2,4,3,3,22,1,2,1,1,1,1,1
iuxJINYd7iRiPF6wQkv78W4UkghTklb4RI_XD5WaXIW9piVgzPeny8CxehmAWT9P,CC,3,5,3,5,3,5,4,6,5,6,6,4,3,4,1,2,2,3,2,23,9,2,2,2,-999,2,-999
iuxJINYd7iRiPF6wQkv78W4UkghTklb4RI_XD5WaXIW9piVgzPeny8CxehmAWT9P,GB,3,6,5,3,4,4,4,5,7,6,6,5,4,4,2,1,1,1,1,23,9,2,1,1,1,1,1
Th4Rmb90oasSuCFnikU6vbEF3uOHwcJVlov_AmYIyIcqdOhvPtgwHuIkz8ZUbZR1,CC,3,3,3,3,3,4,3,4,4,4,3,4,3,4,1,1,2,1,3,NA,NA,NA,3,3,-999,4,-999
XzMX435gNWxbu3W6V4LUo8w9YTwpL_Qu0D4u5S0O6FLcgV2C_7XDwx5dI8KF8LC1,CC,6,5,5,6,6,5,3,4,4,4,4,4,3,3,1,1,2,2,2,20,3,2,4,-999,-999,2,-999
XzMX435gNWxbu3W6V4LUo8w9YTwpL_Qu0D4u5S0O6FLcgV2C_7XDwx5dI8KF8LC1,GB,2,5,2,4,2,5,4,4,4,4,4,4,4,3,2,3,2,2,2,20,3,2,1,1,1,1,1
4IJUBHpsTyooW-ZgSpZvjf5-5HXwb2zjQ2gy4FZFihcJLpE3UATurRxsBxYUwBoe,CC,6,6,6,6,5,7,4,4,4,5,5,2,4,4,1,2,3,1,4,19,1,1,-999,-999,2,2,-999
4IJUBHpsTyooW-ZgSpZvjf5-5HXwb2zjQ2gy4FZFihcJLpE3UATurRxsBxYUwBoe,GB,7,7,5,6,4,7,6,7,7,6,7,7,6,4,2,1,2,4,2,19,1,1,-999,3,-999,3,4
UTGlLckQjnhlsIHVUQbGsysQXvLDDWnzUrKokpm4IEdET4L2GaM04UNSTNvssoT1,CC,5,4,5,6,6,4,4,4,4,5,5,5,3,4,1,3,2,1,1,25,13,2,3,3,2,3,2
UTGlLckQjnhlsIHVUQbGsysQXvLDDWnzUrKokpm4IEdET4L2GaM04UNSTNvssoT1,GB,6,6,5,5,5,5,4,4,4,4,3,4,4,3,2,2,2,1,3,25,13,2,2,1,1,3,1
OS3MdnahRyPu5Xp1vZxpklhUz5jtfwNrm_IMQsM4zfVTyJ5FtKpzGtOrf9c4hjH_,CC,6,6,6,5,5,6,6,6,6,6,6,6,6,6,1,3,2,3,2,23,1,2,3,-999,-999,4,-999
OS3MdnahRyPu5Xp1vZxpklhUz5jtfwNrm_IMQsM4zfVTyJ5FtKpzGtOrf9c4hjH_,GB,6,6,6,5,6,6,6,6,6,6,6,6,6,6,2,2,3,2,2,23,1,2,1,1,1,1,1
MWHmrvltibQMKMn00Fyi4f47SBdliF4NDYxA6K9nyMg2BeYcKy40jXQPmo8SFiYy,CC,4,4,5,4,4,4,4,5,5,5,4,4,4,5,1,2,2,3,3,27,19,2,-999,-999,-999,-999,-999
MWHmrvltibQMKMn00Fyi4f47SBdliF4NDYxA6K9nyMg2BeYcKy40jXQPmo8SFiYy,GB,4,4,5,4,4,4,3,4,4,4,4,4,4,4,2,2,3,3,4,27,19,2,1,1,1,1,1
72EbpFuk8xgfaXRXlJRK0N8dkkgNgSeIu4hBHk4AQDtRz3mdOxOFXJuTksxQUXpM,CC,5,5,5,5,5,5,7,7,7,7,7,7,7,7,1,2,2,1,4,28,8,1,1,-999,-999,2,-999
72EbpFuk8xgfaXRXlJRK0N8dkkgNgSeIu4hBHk4AQDtRz3mdOxOFXJuTksxQUXpM,GB,5,6,5,4,5,5,3,4,7,4,4,3,3,7,2,1,2,1,3,28,8,1,1,1,1,1,1
pPoFpQuH1Uvuhztpg7DazPBP5KqteiZrvmv1yw0ZmqsjQg1hUaP_UYIODeoTTCwn,CC,4,4,4,4,4,4,4,4,4,4,4,5,4,4,1,3,3,3,3,23,11,2,2,2,3,2,2
pPoFpQuH1Uvuhztpg7DazPBP5KqteiZrvmv1yw0ZmqsjQg1hUaP_UYIODeoTTCwn,GB,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,2,3,2,23,11,2,2,-999,-999,3,2
J75dxFO_dotcv2k3bsRs19nwlm99BWoxh9aSdnwrEHS5pTNs1safUx4bQuD4ZotQ,CC,7,6,6,6,5,7,7,7,6,6,6,5,6,5,1,2,1,1,1,21,3,2,2,-999,-999,1,-999
J75dxFO_dotcv2k3bsRs19nwlm99BWoxh9aSdnwrEHS5pTNs1safUx4bQuD4ZotQ,GB,7,6,6,7,7,7,7,7,5,5,5,5,6,5,2,1,1,1,1,21,3,2,1,-999,-999,-999,-999
mNdXUEsJc12Ww7ruQYCteM455gDL-XIX1bARWkjFPXodCvbw2lBAaMT-BRAbrVnu,CC,7,7,6,5,5,7,6,5,6,6,5,5,6,5,1,2,2,3,1,20,1,2,4,-999,-999,4,-999
mNdXUEsJc12Ww7ruQYCteM455gDL-XIX1bARWkjFPXodCvbw2lBAaMT-BRAbrVnu,GB,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,1,1,1,20,1,2,-999,-999,-999,4,3
cuI_TNvp2w-7ON4dqrpLvZT1Fezop44MbxLVtA7T4iIokIMB88piYPBDuwEj63Ke,CC,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,2,1,1,3,21,3,2,3,-999,-999,2,-999
cuI_TNvp2w-7ON4dqrpLvZT1Fezop44MbxLVtA7T4iIokIMB88piYPBDuwEj63Ke,GB,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,1,2,1,1,21,3,2,1,1,1,1,1
SIEe5k0fahcky0razyuKY1Bcf-CXXndtdAYmk4j7HA9fdqWAOhq1X5TNX7IZwXow,CC,6,6,6,6,6,6,6,6,6,6,5,5,6,6,1,2,1,1,1,22,3,1,3,4,4,3,4
SIEe5k0fahcky0razyuKY1Bcf-CXXndtdAYmk4j7HA9fdqWAOhq1X5TNX7IZwXow,GB,6,6,6,6,6,6,6,6,6,6,6,5,6,6,2,2,2,2,1,22,3,1,3,4,4,4,4
Sk4P2cIf8X6zT6EzzlpV1IH8F91wuiOuvI7cdLg1sX8Kl1EBjM44xPtNGKmWDJWB,CC,7,7,6,7,6,6,7,6,7,6,7,7,6,6,1,1,1,4,1,22,3,2,2,-999,2,2,4
Sk4P2cIf8X6zT6EzzlpV1IH8F91wuiOuvI7cdLg1sX8Kl1EBjM44xPtNGKmWDJWB,GB,6,6,6,5,5,6,4,4,5,6,6,5,5,6,2,1,1,4,1,22,3,2,1,1,1,1,1
yM6P2eWxgK2Iz8TBtd3ZM8gFaS36HUah1AJK6HO83Ck1VExRjLEWL9ff5MlfUHdF,CC,6,4,6,5,7,6,7,7,5,6,7,7,7,5,1,1,1,1,1,20,3,2,-999,-999,-999,2,-999
yM6P2eWxgK2Iz8TBtd3ZM8gFaS36HUah1AJK6HO83Ck1VExRjLEWL9ff5MlfUHdF,GB,5,7,5,4,3,4,5,4,7,7,6,7,5,7,2,3,1,4,1,20,3,2,4,1,1,1,1
xV5u0lOEOdfZ-wBay00WO1YaBPByL849pBIFQ38pSy0YtFzdGKVE0-RgasYPhMuk,CC,5,5,6,6,5,5,5,5,5,5,5,6,5,6,1,2,2,3,3,19,1,2,-999,-999,-999,3,-999
xV5u0lOEOdfZ-wBay00WO1YaBPByL849pBIFQ38pSy0YtFzdGKVE0-RgasYPhMuk,GB,5,6,5,5,5,5,6,6,6,6,6,6,6,5,2,2,3,3,2,19,1,2,1,1,1,2,1
0RsY1eowAgeEEz56RMuMVr2iNsIKvILiMO8TdDZywnx4PYnh3OWkO6RzHkIZjEXa,CC,7,6,6,6,6,6,6,5,6,6,5,5,6,5,1,2,2,1,2,22,3,2,-999,-999,-999,-999,-999
0RsY1eowAgeEEz56RMuMVr2iNsIKvILiMO8TdDZywnx4PYnh3OWkO6RzHkIZjEXa,GB,5,5,5,4,5,5,4,4,4,4,4,4,5,5,2,2,3,2,2,22,3,2,1,1,1,1,1
SBPuknakNvSUJPaXeEGza19RLnymbIb5M1VpPaDKo7tEEaqwM6zXMdAAAgAD2HY_,CC,5,5,5,4,5,4,3,3,4,4,4,4,4,4,1,3,1,3,3,27,3,1,-999,-999,-999,-999,-999
SBPuknakNvSUJPaXeEGza19RLnymbIb5M1VpPaDKo7tEEaqwM6zXMdAAAgAD2HY_,GB,5,5,5,5,5,5,3,3,3,3,3,4,4,3,2,3,2,3,2,27,3,1,1,1,1,1,1
o-NI5dFm4eOrQNU3xExkpXw3oJ-29umTBsMLmfOV7s4VtyyleCxYxrVDZCOIIfQy,CC,6,6,5,6,5,5,6,6,5,5,6,5,5,5,1,2,2,2,4,20,3,2,1,4,4,-999,2
o-NI5dFm4eOrQNU3xExkpXw3oJ-29umTBsMLmfOV7s4VtyyleCxYxrVDZCOIIfQy,GB,6,5,6,6,5,6,6,5,5,5,6,5,5,5,2,2,2,1,3,20,3,2,1,1,1,1,1
Ss9587NjvGS1kU-AVav9gfMG9T7n4VkFMVFsit6PfKnFDq1CUTgrNXkBFJd2YY6V,CC,6,6,6,6,6,6,6,6,5,5,6,6,6,6,1,1,1,1,1,20,3,2,2,2,3,4,3
Ss9587NjvGS1kU-AVav9gfMG9T7n4VkFMVFsit6PfKnFDq1CUTgrNXkBFJd2YY6V,GB,6,5,5,6,5,5,6,6,5,4,6,5,6,5,2,3,2,1,2,20,3,2,1,1,1,3,1
7WR1X6YC7f3XeaJKhFnG4edFGn29DQO9ZwqM8uS4M4E2UsvrMSDHp8QSyNHpuf0G,CC,6,5,5,6,4,6,5,5,5,5,4,5,5,5,1,1,1,2,3,24,10,1,4,-999,2,4,-999
7WR1X6YC7f3XeaJKhFnG4edFGn29DQO9ZwqM8uS4M4E2UsvrMSDHp8QSyNHpuf0G,GB,5,5,5,5,6,5,4,5,4,4,4,4,4,5,2,2,3,2,3,24,10,1,1,1,1,2,1
wzcePE2C2mV3dQ5hqO3hBa5FOJdJj4rCZdM8y3PL9QBDTkuuf7-uSb5-wBxyHZel,CC,6,5,7,6,7,6,6,7,6,5,4,4,6,6,1,1,1,2,1,21,5,2,2,2,-999,3,-999
wzcePE2C2mV3dQ5hqO3hBa5FOJdJj4rCZdM8y3PL9QBDTkuuf7-uSb5-wBxyHZel,GB,6,6,6,6,5,6,5,6,4,4,4,4,5,5,2,1,2,2,3,21,5,2,1,1,1,1,1
htT7S_LwceZrgRJyihuuzATNv28_bksvKCJSemfeDXz0y2GvRSoR27tQUA_r6dUH,CC,5,6,5,5,6,6,5,5,6,5,6,5,5,5,1,2,2,1,4,24,12,2,-999,-999,-999,3,-999
htT7S_LwceZrgRJyihuuzATNv28_bksvKCJSemfeDXz0y2GvRSoR27tQUA_r6dUH,GB,5,6,6,5,5,6,5,6,5,5,5,5,6,5,2,2,3,1,3,24,12,2,2,2,1,2,2
yqIZu-W9p6XWHWW2wTuvoNbvouzbUtoEAetqKQGOQweGFTIdtyEfXWf7BPE6Zou5,CC,4,5,4,4,4,4,4,4,4,4,4,4,4,4,1,2,3,2,3,20,2,1,2,-999,-999,2,2
yqIZu-W9p6XWHWW2wTuvoNbvouzbUtoEAetqKQGOQweGFTIdtyEfXWf7BPE6Zou5,GB,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,3,2,3,20,2,1,2,2,2,2,2
rZ3RnRCBVdflnisorp-ZQWoB7A8k327zw3la0A5avtHu9-lQqcEqwjbJPlTelzuS,CC,6,5,5,5,5,6,6,7,6,6,5,6,6,7,1,2,2,3,3,22,3,2,2,3,3,3,-999
rZ3RnRCBVdflnisorp-ZQWoB7A8k327zw3la0A5avtHu9-lQqcEqwjbJPlTelzuS,GB,6,6,6,6,6,7,6,7,6,6,6,6,7,7,2,2,2,3,2,22,3,2,4,3,-999,3,4
90pD4CQUfklnuIAbDIG4-iBLfVjlzIg3iEUv6z-ha8qgwgAkcHnaeHAopeluyRnb,CC,6,5,6,6,5,6,5,5,4,4,4,4,4,4,1,2,1,2,3,27,11,1,3,-999,-999,2,-999
90pD4CQUfklnuIAbDIG4-iBLfVjlzIg3iEUv6z-ha8qgwgAkcHnaeHAopeluyRnb,GB,5,6,6,5,5,5,2,3,4,4,1,1,3,3,2,2,3,2,3,27,11,1,1,1,1,1,1
RA__tysyzGTfYLrIMIB9be8BM9aQ1C67lWzMivD_4q2uxSeHxnM2jicmEkcc1SLZ,CC,6,6,6,6,5,6,6,5,6,5,6,6,6,5,1,2,1,1,2,22,1,2,3,-999,-999,3,-999
RA__tysyzGTfYLrIMIB9be8BM9aQ1C67lWzMivD_4q2uxSeHxnM2jicmEkcc1SLZ,GB,6,6,6,6,6,6,5,6,5,6,6,6,6,5,2,2,1,1,2,22,1,2,4,4,4,2,4
EJlvfHZZLZFNgE8eUhkPwsTBm8DBtOrSx0t8DUn5Du_Lvwz9QXtHJiuKXiMJbC5X,CC,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,2,1,2,25,9,2,4,-999,-999,4,-999
EJlvfHZZLZFNgE8eUhkPwsTBm8DBtOrSx0t8DUn5Du_Lvwz9QXtHJiuKXiMJbC5X,GB,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,2,25,9,2,2,1,1,-999,1
pbm4Zz_fw7dQfjTGv9K7V9raoMlyKt97neG77r1dZ71GvVVZ-3PkAVT0Kc8YB2fZ,CC,5,5,6,5,3,5,5,5,5,6,4,5,4,4,1,3,1,1,2,21,5,2,3,1,2,2,1
pbm4Zz_fw7dQfjTGv9K7V9raoMlyKt97neG77r1dZ71GvVVZ-3PkAVT0Kc8YB2fZ,GB,6,5,5,6,5,6,5,5,5,4,4,4,4,3,2,3,4,1,2,21,5,2,1,1,1,1,1
l5c1Xlz9vTTCy89dH5SaDczNWUmxx-zzRGfFBIfUUmd6thHnxdc79KQYmp4lEjji,CC,5,5,5,5,5,6,5,5,5,5,4,4,5,5,1,2,2,3,3,NA,NA,NA,3,-999,3,3,-999
fQsJ_7g6K2aeaySK4qH1ETlfARxOH4_9W_8bGbvKO6ORK6bd30GHMDIn0xsxdLN8,CC,2,4,3,5,3,4,3,3,6,6,4,3,5,2,1,1,4,1,4,20,1,2,3,2,1,3,2
fQsJ_7g6K2aeaySK4qH1ETlfARxOH4_9W_8bGbvKO6ORK6bd30GHMDIn0xsxdLN8,GB,3,4,3,5,4,4,5,3,3,1,5,4,3,4,2,3,4,3,2,20,1,2,3,3,4,3,3
ZY41mftlmI2IADjW1bVTHahuBOnApHf2GbXAXh3f9r-q-aVSNIjDHhn2oZ_j1724,CC,5,6,7,5,7,6,6,7,4,4,6,6,6,6,1,2,2,2,3,26,13,2,2,-999,-999,-999,-999
ZY41mftlmI2IADjW1bVTHahuBOnApHf2GbXAXh3f9r-q-aVSNIjDHhn2oZ_j1724,GB,6,5,7,7,6,7,7,7,7,7,7,7,7,7,2,1,1,1,1,26,13,2,-999,1,1,1,-999
zJMxP1DeUBAYmI1HPAdxTZpucvqDP10z249WPSQ3AhAKHX1pgVK6xW9mkpsRYOkF,CC,5,5,5,5,4,5,5,5,5,6,6,6,6,5,1,3,2,2,2,21,3,2,2,-999,-999,2,-999
zJMxP1DeUBAYmI1HPAdxTZpucvqDP10z249WPSQ3AhAKHX1pgVK6xW9mkpsRYOkF,GB,6,6,6,6,5,6,5,6,6,6,6,6,6,6,2,2,2,2,2,21,3,2,2,1,1,1,1
9o-EKftpg2tDC9x9c-ryCxgszo8oaE3t619U6V3ml6Sfqm5jusWkMTuHVWrqRtyw,CC,6,5,5,6,5,6,4,4,6,4,3,4,7,7,1,1,3,1,3,23,8,2,2,-999,-999,1,-999
9o-EKftpg2tDC9x9c-ryCxgszo8oaE3t619U6V3ml6Sfqm5jusWkMTuHVWrqRtyw,GB,5,5,5,5,5,6,3,3,4,4,4,5,3,4,2,1,3,1,2,23,8,2,1,1,1,1,1
KSB_uVKxvOF3bnoiFJRiLkdxqi0RGPeiUuUHJRPS9nXdwAAP1eDUxsQ6Llvf7pHu,CC,6,6,6,6,6,6,6,6,6,6,6,6,6,4,1,1,1,1,1,25,12,1,4,-999,-999,4,-999
KSB_uVKxvOF3bnoiFJRiLkdxqi0RGPeiUuUHJRPS9nXdwAAP1eDUxsQ6Llvf7pHu,GB,5,5,5,5,5,6,5,6,4,4,5,5,4,4,2,1,1,1,1,25,12,1,1,1,1,1,1
eH4zWRhxrWtnOhk-u70pWFw6jz416VLIcPLTY6I4nZxUNbjy4s5t87WHu-_DoM7F,CC,6,6,6,6,6,6,6,6,6,5,5,5,6,6,1,2,1,2,1,20,3,1,2,2,4,3,1
eH4zWRhxrWtnOhk-u70pWFw6jz416VLIcPLTY6I4nZxUNbjy4s5t87WHu-_DoM7F,GB,6,6,6,6,6,6,6,6,5,5,5,5,6,5,2,2,1,2,1,20,3,1,1,1,1,1,1
zp0srfu1A8N0FuZslPn3CoTJTOxWVxN0ZQWaVDQmPZPl1NJ-LfOFRgtfSghFpHK7,CC,7,6,7,6,7,7,5,7,4,5,6,6,6,5,1,1,2,2,2,21,3,2,3,-999,-999,4,-999
zp0srfu1A8N0FuZslPn3CoTJTOxWVxN0ZQWaVDQmPZPl1NJ-LfOFRgtfSghFpHK7,CB,6,6,6,7,6,5,6,5,5,6,4,6,6,4,2,1,3,2,2,21,3,2,-999,-999,3,-999,-999
vsrDvqam1gW6Lm-wRiyrUBNnz3abFczdwyVb9W84XQq00rZMkFqaMhTx5qxNMv5h,CC,6,5,7,4,4,5,6,6,4,4,4,4,6,5,1,2,3,3,2,20,3,1,4,-999,-999,2,-999
vsrDvqam1gW6Lm-wRiyrUBNnz3abFczdwyVb9W84XQq00rZMkFqaMhTx5qxNMv5h,CB,6,5,5,4,4,5,5,6,5,6,3,5,6,6,2,3,3,2,3,20,3,1,4,4,-999,3,3
SNmlMU2juISxSQal0VPCt0aNGxSem7IvhKK73JisQM9PwNCgli-IL9dtV8pZ8tmK,CC,7,6,7,7,6,7,6,7,6,7,5,6,6,7,1,1,2,2,2,19,1,1,1,2,1,2,2
SNmlMU2juISxSQal0VPCt0aNGxSem7IvhKK73JisQM9PwNCgli-IL9dtV8pZ8tmK,CB,7,6,6,6,6,7,6,7,6,7,6,5,6,5,2,1,3,1,2,19,1,1,4,4,4,4,4
XNPKKNtNvEuJUutGRJfXUul_q4MD94J56F01HzBf0gp3H4WEv073Fc5l2n2BeHFX,CC,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,2,1,2,3,20,3,2,2,-999,3,3,-999
XNPKKNtNvEuJUutGRJfXUul_q4MD94J56F01HzBf0gp3H4WEv073Fc5l2n2BeHFX,CB,7,7,7,7,7,7,7,7,7,7,6,7,7,7,2,1,2,2,3,20,3,2,4,4,4,4,4
sx7HfW0hHTzkjmPXJDjM08FooRhrg2d5XeAXrymYBbqpXHc6Lpi6T3AARyYmlgEZ,CC,6,7,7,6,6,6,7,6,6,6,6,6,6,6,1,2,1,4,4,23,8,2,3,-999,-999,3,-999
sx7HfW0hHTzkjmPXJDjM08FooRhrg2d5XeAXrymYBbqpXHc6Lpi6T3AARyYmlgEZ,CB,7,7,7,7,6,7,7,7,6,6,6,6,7,7,2,1,1,2,1,23,8,2,4,4,4,4,4
Zul1vai0D5wmFF39_2ePBE9R4ZYdM2uH707WSosFig5YJcwnhv0VIh6RH7PpydOZ,CC,6,6,6,7,6,7,6,7,7,6,6,6,6,6,1,2,3,2,2,26,13,1,1,-999,-999,-999,3
Zul1vai0D5wmFF39_2ePBE9R4ZYdM2uH707WSosFig5YJcwnhv0VIh6RH7PpydOZ,CB,6,7,7,6,6,7,7,6,7,6,6,7,7,7,2,2,2,2,3,26,13,1,4,4,4,4,4
RM87ODIH2ssv0_e4fwMA235SWuyDrGGxbFJulk92G-poAT-a8xrho1xuqyNjsVvw,CC,4,4,6,4,2,4,6,6,3,5,4,6,6,4,1,3,1,2,3,25,10,2,1,1,-999,1,-999
RM87ODIH2ssv0_e4fwMA235SWuyDrGGxbFJulk92G-poAT-a8xrho1xuqyNjsVvw,CB,6,6,7,6,7,7,6,6,6,6,6,5,6,4,2,1,1,2,3,25,10,2,4,4,4,4,4
3jvsdUuRjvdxpXn1SN1o3GPe2MsrEkxitY4Oi89SxvLpu50gfYDMtvMs1UNSsPzL,CC,6,6,6,6,6,6,6,6,5,5,5,5,6,4,1,4,3,1,3,NA,NA,NA,4,4,4,4,4
lAQ_zJWhHoMuoZxuq8ObDOoAzxDAclyuzAVf_A073mU1Rxb7a2X3yTZY05Ak2ktF,CC,4,5,5,6,5,5,5,3,3,3,6,4,4,4,1,3,3,3,4,22,9,2,2,-999,-999,1,-999
lAQ_zJWhHoMuoZxuq8ObDOoAzxDAclyuzAVf_A073mU1Rxb7a2X3yTZY05Ak2ktF,CB,3,3,5,4,3,6,5,4,3,6,5,4,6,6,2,4,3,4,3,22,9,2,1,-999,-999,-999,-999
Cpiza0-HOTCyC16ekDtSqVNvGd9ZZ8p3O0CDVTSXb7bHzSgRj--qyCdJBj76W9H2,CC,6,6,6,6,6,6,6,6,5,6,6,6,6,6,1,2,1,1,1,23,9,2,3,3,3,3,3
Cpiza0-HOTCyC16ekDtSqVNvGd9ZZ8p3O0CDVTSXb7bHzSgRj--qyCdJBj76W9H2,CB,7,7,7,6,7,7,6,7,7,7,6,6,7,6,2,1,1,1,1,23,9,2,4,4,4,4,4
e32dPkjnBH1PWemKOi6k0WrxeF0hRp9K9woHeM63-xVg24ubKnTVLZuzus5ZTYCK,CC,5,5,5,5,4,5,4,4,5,4,5,4,5,4,1,3,2,3,2,22,3,2,3,2,2,3,2
e32dPkjnBH1PWemKOi6k0WrxeF0hRp9K9woHeM63-xVg24ubKnTVLZuzus5ZTYCK,CB,5,6,4,6,5,4,5,5,5,6,5,5,4,6,2,3,2,2,3,22,3,2,3,2,2,2,2
Bz2To7B-Axq8fiG3MZh9Eny8o10JOyLXZ5DkjWZ8XLCoVIs4kkQ6B9PoHtDP9YIi,CC,6,7,5,7,5,6,4,4,4,4,4,4,5,4,1,1,1,1,1,20,3,2,3,-999,-999,3,-999
Bz2To7B-Axq8fiG3MZh9Eny8o10JOyLXZ5DkjWZ8XLCoVIs4kkQ6B9PoHtDP9YIi,CB,7,7,7,6,6,7,4,4,4,4,4,4,4,4,2,1,1,1,1,20,3,2,1,1,1,1,1
FpmuJfhDuMjufF2wgHhn2p94jhy83hDMU9RSU-BsNFwB8DGNOedp_kOm5FMOZAfU,CC,6,6,6,6,6,6,6,6,5,6,6,5,5,5,1,4,1,4,1,27,11,1,1,-999,-999,1,-999
FpmuJfhDuMjufF2wgHhn2p94jhy83hDMU9RSU-BsNFwB8DGNOedp_kOm5FMOZAfU,CB,7,6,6,7,7,7,7,7,7,7,6,7,7,7,2,4,1,4,1,27,11,1,4,4,4,4,4
_k8hgVpViHThr7qpEu5cmYDKwEq5v7qfXxfZEotEj0n4EpmnQ9vZ18vZnBcz5W-o,CC,4,4,3,4,5,4,5,4,4,3,5,6,5,4,1,2,3,2,2,28,6,2,2,-999,-999,3,2
_k8hgVpViHThr7qpEu5cmYDKwEq5v7qfXxfZEotEj0n4EpmnQ9vZ18vZnBcz5W-o,CB,5,4,5,3,3,3,5,4,4,5,4,4,5,6,2,2,2,2,2,28,6,2,3,3,-999,2,4
QuNKWLxsXxcVfkQjEYhB6j_cXGkg6oE-iRWeDBMk80J0snnGarhvXVPBdfB4Tdmi,CC,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,NA,NA,NA,1,1,1,1,1
QuNKWLxsXxcVfkQjEYhB6j_cXGkg6oE-iRWeDBMk80J0snnGarhvXVPBdfB4Tdmi,CB,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,1,1,1,1,NA,NA,NA,1,1,1,1,1
iHYiWJRFMuXzBjNxawX2BUogHLSn3VVMAQA2HBJdO4U9ZC70mnerMEk9pRiJoyIT,CC,6,7,6,5,6,6,6,6,6,7,6,7,6,6,1,1,1,1,1,24,7,2,2,1,2,1,2
iHYiWJRFMuXzBjNxawX2BUogHLSn3VVMAQA2HBJdO4U9ZC70mnerMEk9pRiJoyIT,CB,7,7,7,6,6,7,7,7,7,7,7,7,7,7,2,1,2,1,1,24,7,2,4,4,4,4,4
uSmwFuniGZu7Rq-Y1almMaPFqivzhfZZNoSdCD9C4swyfhRk25j83ptu_g-k1o3S,CC,7,7,7,7,7,7,6,7,7,7,7,6,7,4,1,1,2,2,1,23,7,1,3,4,2,3,3
uSmwFuniGZu7Rq-Y1almMaPFqivzhfZZNoSdCD9C4swyfhRk25j83ptu_g-k1o3S,CB,7,7,7,7,7,7,7,7,7,7,6,6,7,6,2,1,1,1,1,23,7,1,4,3,3,3,3
L75Twl8YpqebaKJkKPLS134A5w4z8sLIZopoXJKbcUt7HqXaB5WfK3eOM2fxXyIW,CC,6,6,5,5,5,5,4,6,4,6,5,5,4,6,1,2,1,2,2,27,5,1,3,-999,-999,4,3
L75Twl8YpqebaKJkKPLS134A5w4z8sLIZopoXJKbcUt7HqXaB5WfK3eOM2fxXyIW,CB,5,5,5,4,5,5,5,4,5,5,6,5,4,4,2,2,2,1,2,27,5,1,2,2,-999,1,2
dWxtqSJMBmbasE-W7JBtnzM1tkkr-lUNoOcYNiSgE7U7UvaseXnjDK7O9_5o01yo,CC,5,5,5,5,6,6,5,6,5,6,5,5,6,5,1,2,2,1,4,24,11,2,2,3,-999,3,-999
