sex,age,education,session
m,50,L34_7,O8Y9zqrVkdwGcfvQ1EQBo_GF9jLai9LjGYREVsmDu1jFGvD_-h58Fu4QaJiHSK_Q
m,35,L34_8,d2pF7kWYz8lSjvrU5qPcR5PTbD3IkmfNdfhi6GmeA0sSZwJJoxr2xReHh1q1Bysc
m,50,L34_8,BB0HuZPOdlRaJVe4ndoLzb3JdYiWaG2OzkWXYPY3WvLzt1KsvdVvmJDpKQsR7ZPd
m,50,app_13,YNK9UP9956WqeLwfVGPGjU3DoQTpyWrBoARI9LixWj3j15rNG3M9iIOTXywGOxs5
m,50,L34_9,2m8vYOMLBX8od6FD6MCw5qZsEiVMEw-JocP9GuoUkRtDHm-UXnss7KlRXP7y-rGq
m,50,L34_8,l-KK6-0epmBrpXXe2NRaalZJyE72un0a0M_y2uU_PmdfJZ0ldfxIrGhee95n7DXH
m,50,L12_3,uic_x9xK93KqouOib6L_r98n35jlroMHb0sSN0WiFC-spQcK41-vYxDgys3Sx4yo
f,35,L34_7,FF-wcg3mcs_q0qitlBlM3YsRz8Cj1zDotzGIigVS4m_VX2qFJHFdKMtmpMLuXSOf
m,35,L34_8,VicfIZOSvJ-4cPXWaoLPh_HPDsWX-lQ0-zW6sVCtcpmuOKET3A7fA40C_36bkzYQ
m,35,L34_8,nWTtqsFOzasndmVeqXZLe2z7qsLQybKOcJpdI9Tl-JgWRu6J4We7ztvRydhsPyLB
f,35,L34_9,ogwuZl7gcWhaXF4D536i_LEHeG61XeUpqitIvzEb8RVIM9nI6yDqy4f-sJZwgMFi
m,16,L34_8,BiZrNLI-NkInsnHtdRCS6ui13GBnk__6o80H-bBBVeq0iTO8bJAR2ZRb-ISWUAhs
m,35,L34_8,fGH_uw7YhCYKaIlGYGGEFA2jfy_CPOLZJzVGfQUPnS0Xv8vl19r1ljvOLyuHTIUH
m,35,app_13,ZrWmev_37yIZgmLwh9LtrAxNqIk8oO15FShsNauksdxPULNlhTXUN-VRNQYbnVBN
m,50,L34_10,fubrmKua_lokKh-XjLS-2ZhZxYggOm76XExO32dprIxYP5KOAY_-koCxZXi7r548
m,16,L34_8,wBK2hFVP6jUnulrzA3J7Xp3nXu71jhwR6_GpEIBdaaNP8vhndUtwYcHmlfnjapk4
f,50,app_13,GEwExAny62QLgJRIIPUbdKhG9DMhirUcfB5iA1utfH2sfEVMyh2ahbp0d_CzCcq9
f,50,L12_4,vmatR0xLstIDOZx6Ob6UOje7xlTWcJX6Z28wRe3Rkt8jcWwE602WPIxJQTqx74yI
f,50,L12_4,ucsMSz9GuXG8TToKGRQNiqcBVmi9v6vRIq_FzPFzpXzo7W5HkrCu1vYDp51ugi4K
f,50,L12_3,PtUQm9ffeTMDC79P5-D576tXejEGSlK2M9M94u8qd7BUjcWsB1TiCcWprEmOdTCp
f,16,L12_3,qu0OapOmHwd6qcEqU34bJ76JGNvm6OhfOqBqnhcPP862OD1Kz0ct6gtINOpKc5KF
f,16,L34_7,vKWc4aTshV171NwwsVvABFpC_las9vPjGQ43IF8aBKZip7WQ0dpm1q0mARoCxQiB
f,16,L34_8,2wK6e_czg-AQhzie5syeGwEbITTaOnQ9IMGZWjruhx9Emc91KT_vO1iWzR_okcfe
m,35,L34_8,2f_cs-h8DABPHMvKiXB559Fd1OTBA_vYRfphwVFZRk8OyCh3nJYdNyayWNW2Ti6v
f,35,L34_7,jzyjLtGQEyuFnDgmjQP5Y4BPYVCSZzI98WT1x_d8PtOM6If5ihA9dwwbD39vxCs0
m,35,L34_8,Jj9xF4QykBfkU65V4lBLdRSYlvSAVveEV71GSMAUr4XHHxx3iN3bzu_Jh20V0SVy
m,16,L34_8,GhuR-oq6Gu4n5m7OrfbM6y8Qjqven4KfSW3I6eFcnPelN7MCd58ouIyPGbyzqvRt
f,50,L12_4,D-B69PBnt3N3MCSaVpeuAs24qziE_pbV3Jgs1EzV64rVHjK5O3to5IeTF6DF6-Ar
m,16,L34_6,GyM5DTcYJAYTsrWL_UgItE2KiXQfE93I4p-yEDIzFB6Artdb-EsDNxyDgeCbKCsP
f,16,L34_8,B2KxTs9QHXjjg3OtZD0PL7EF4zqS_PGOgJYM5xe7rU1oKCJBjjBT2THDsC_BBj2-
m,16,L12_1,G-qSxdwZ_53RYvEcRBULDB1pmiUvDjAsyLdmdgPBPP0MD7tGiPQ4youyT9u3NawC
f,35,L12_2,vOTZlb5BZtmUZyAeXz65p9rSUfZlY_RxKt_YQ2ZyKbgE_WQoqT6RsO5dXWL6t3UO
m,16,L34_8,mZWuVPhoOd7IVZFQYFh9W6lxbl1pknthyHLpWJ7hpeVQBcPWDpT7WgBzVUv2juWi
f,35,L12_2,Rc1wtP3D4TWgI-lIH8zqaYQFmZUQxn9tod2tct93jlgwH0UsM7_Aqcfe8-LIOVME
f,50,app_13,KOOeYWRZz1Cgc94k2meaDX4BT7PJdox8WXnUnRp1d3mRZgRsx-JmXz7PnUHH1wTx
f,35,L34_8,v_bD9TKPeKZqTzZbcmv6NpjMI2bp0a9bkE7lFhCywiIDzPy-wA4n_I4ANAhzkJ1F
f,16,L34_8,psZCicGOxdCNU4G9pShk5deIg9iuOIaKscqlG4xJm_8ihKaRxxkff9Ghp-grAVY7
m,35,L12_2,lyqpi5hP0WeoZkxDHjkXtextRlucyqcG4_zNgXhRPyzLUaGFGnocf1etR2E41HNC
f,16,L34_6,0lut_BLzrutGmcUeem2wPfrHLAihqNxKlcHnlcaPW_i_X4FvCZXbnq8fPDAVQSpy
m,16,L34_10,TsUHF2wQpWcBIwObvtsOfgqhgU8iyRRK1CYwmRSZswdxzgYmQiUhhKmyDeLVVE9H
f,50,L34_9,g-tpaSGqYUaWheFWIdoVsZcw2VbP9H0rU0PJz6ndgDB9k_s5eUdC603kRw7qSC3v
f,16,app_11,zGIJmCKH91bPxrgdzRGHSkbA2rUPfCJGQ8xK0cbKXsJckq0AndZkBdGF9m9HiDDs
f,35,L34_10,ZfqoCk-8vBCBqjAzFzA3447cDmux8FFP64iihyFeoxLrpVZi6OK-cADJyxGZJtYM
f,50,L34_7,KRMfsof6tGdBCMFXzKPgclJeVjXKWQWRynRgtnId3bMgu72pjYkW3mATOTbAGnm1
m,16,L34_10,rCnamKtqFxI7I47Fm1IS2miXisQ6Ajqwyj81kl8M61Y4FfCIvOvCYkK9bp4Yhwa-
m,16,L34_8,y9N2I66WP7c_eojdfoPuV7KeFvw9CdrLZupYWrj1NRfO_miQ-1x2LmoR5WTdLuWr
f,50,L34_8,VVYp6eZalV9tQqYK0zt-rnizXvV5bMJaHs-3p42zVKyopL3AavpiLNbtsAKH6kzR
f,50,L12_2,xwTNDPEgio5_fPl82hxsy2GAe8TIsMHyDRT0OcJs-98fU5CMpLUytAjdBnHawNvJ
f,50,L12_4,k3Fx4bam8kidso1961YnLWRQRbBdYvbJwsjQXYKXkY5bMwnKVa1r8IQ5E__dHDRa
f,16,L34_8,MsqBHPtW42VUiZoLeiGCrffxxTbLw7NsHQoElyeOVPFsFSVy1h98s9jaVBr-M963
f,16,app_12,r40CWpOl53o0suj2sa0D1AdDTyltkAW2nF4OAM4pHDTu7XhxkXt0e3hUjsddD9Tz
m,50,app_13,Zx6_PpGiF1xK5JWFvry6xO7JVWGt7ajXXOK-bKGF8kWaCKmEY4DofkAnALAT2WZ5
m,35,L12_1,rRgNfZMMeM2T2M-D1DRLWgF3wpY3UEyGvv3niEPWdYh2bfMjilyxkd9WOLVtTaGA
f,35,L34_10,PGgtxtW2UaP4FTkFC0gOtnR7CsGaZhevQI5dfYFcm07vu1U8FmzjEMknZFIBYKNu
m,35,L12_4,1KSw3kbSyOCWPRP1kK6TAmKf5J5FL5GAfPTtEY_-pbCZc6paNjfnc_ROMJgv2f1g
m,16,L34_8,Na5Od0InBN9SAaYByNA41XS5TpYfLR4jQ0r5oxuZnf_Z_sz6vK0B_Urud92JAgsw
f,16,L34_8,de4GzvEGCrWW-86uH3YSmzxq7TecOuF0mVewv4mkSw51bDjaQbmPgsBkesvZnWzS
f,16,L34_8,tKBEeLk0GJNZOPLkKRhuraqNrqIokJ-91gMlkFW_OA3aAe_AQ0cyaz2YSuAPfqwQ
m,50,app_11,hUd42ElsBCjTWuRiAGCkbWZX6SK3y-YppGvn9UPUretmUXNLwsuVHqt-MjZz8cV4
f,16,app_12,ijfCsEIZ3Qrm4m_yjtWewyO_iHdRbTEzpvg3Uc7tJN7vBpMVSi8wp6A43wMwX9d-
f,50,L34_7,_vN_cmq8-WGU0XitEzHhvWsVzXhBFI-166d8UBzOm2dr7rhXEpfe-p0gnnetS0i6
m,50,app_13,tVqhPPVC2kLhB_HbldzMidfq488H_KmmkOxwb8uhsBSyzOB2ZZbO7iZfhxR_tAd5
m,16,L12_4,GnzAqos2YgEDsbFdEX3gwbGOjGrbsMkIo8TKiyJ2owG4EvPXS7G5GwOQJJPyBTvy
m,16,app_11,o-QFlw5bIAQU7_dncZ5KnC4qk_YldK0Y0nuqJi_2OzOlUwNr3nH4S9jcMTOVjseK
f,16,L34_8,GVjsMljXAcq_WAZteME7FnK0tpRvQRUX_ZYAE3gf3_Ci932QrirwWd0_IINRNlHI
f,16,L34_9,FHDrOZ591R4JQSSjk3BEiCT1ZRLBAChKXRv6r_0IWC51rh0t_LiHygscg0gaZgSS
f,50,L12_1,pTn1JXGD8YjevR2WC-5kmWfDjyWZttEoRJAKamA-tkGkEAczkO13LYeOWek8HNkD
m,16,L34_10,rgh7qS4kIev1lmscNGQhvcpvSWrTGiKvibKRtKs8knBFr6dNp7rOpIGTidsQ7RJS
m,50,app_13,oc89IN18K3fwsQ-m17nEVPLzvC_VvTq4Te-61u9AcDPjPFGzPJCxfjFu-Td2vv-K
f,35,L34_8,KrCmFcNfOxsxALKL60GZ61m4x6cwLcm8yIx4wcATD_iYoamPy1yl6bWZgtSS4JaA
m,50,app_5,9OcD_3Nxx1fmDgoatUbt8eu6Fnra8GCGGfkQTbRbQgWuZcDtH7hr5DY_WT5s7TUb
m,50,app_13,r-oiPhiYAeyFracpE1fVvvXDE8Eo3arSMgEUv_pMtDtjlHLyWe_eYSWeYPAFQpsw
m,16,L34_10,OtrS0gSWxU2VZB9B-U11WM-BKBc3i80RcvUIV6DwgvyKbPa1BDe_b-Mch9Lkxmp0
m,50,app_13,aJRnfb99UPPHSVF44v5RU5DvAPaEdraWWvY48D_sbzi5-Crj7ONqe1JLgubWLFI6
f,16,L34_7,zCprDgk14IltozsrFNtzyf1iwqpn8dlImKMP17R9wchwABdZ5UnJmD9KCIar_qRA
f,35,L34_8,LKPocY8QUJSUzacUyRtkyOtj8cHxgaNRmWZuMWDK3jaLUgX3rPqe9JzMF_OFtaSH
f,16,L12_3,p7rsVuy3XV-rMKtS4ICB7z6xH6WBEJ-2LS7SYc0WvpG8-6Y2AMNt9PuA1gLSbqC7
m,16,L34_8,MzWPkJZQlHqPBakM8SPsdMhi8S5jyjtOXm2ze-SxZLZAMV3Jx0X-XbWNjlQ6eLlB
f,50,app_13,J-hiPQ-oyFF5iRuEoo_Jz6tzPiCR3nmSnkgOvMKk-IjH8etRA0QK510AxaVucCK3
m,16,L34_6,1wdX2cAoSikcvBV0VpXkXkjffFrm2PMwywTcJ2rL2zOwAsBtSVhMcNWxtflHX_p1
f,16,L34_8,tuVkWbdaEXI8VsUvz2118JF5e9xXobhMmrk7TfMykc6lwoX7RSt5z4itAavhjGR9
f,35,L34_10,De8AnIwlJ4t2QzC8b39iPRHvl4A-3x_BEUgipzMHuYcJKj9G4soUjDaYLIQeEeGf
f,16,L12_1,PoQNQFycBdMaasZObR9l5jf2_2K22k5oeUPdcQH-J6l8sVY0fw941JO7WT6g7wo5
f,50,app_13,kj698mOjgjv1BTBKQKHu07fml1Q7_fNJMZhwQ-0o5QpiDK264Qpp2CXc578JxYV-
m,16,L34_10,0yejTdaPrDfwhxPr5wL4uDhpgrWHp0_gjT7dENprxUv6zdU9blsLiDFqcbnTtT5E
f,50,L34_8,YLUsHJ7gHUCwxAPzEVPY7HzzGlkfbZuV2Y-p75OkMhWGes8BZCUoRsJyt5Sz-G60
f,50,L12_3,triv9EWHzl5bM8qJNeMYIuev_3Htw-yLTZJtjmrNdgv1c9UbZv8E-8--GDu7_QVc
m,35,app_5,vefXoHE8Nu2IMmQjyUoXHu5X2ORs-nkARBQS7TYm0zGZhW1FzN4p6rZPFaM92x4j
f,50,L34_7,e-vAn3orfSMgBZ9pXUAbVkBN6N_wKAXqvxq0nEz64DL6V4OL1Df-bKUYK-h7J1oR
f,35,L34_8,N7dzUEGlW_lo8MiKIW-sQtV1wsLPkgF8hIUyYt5XzR6X_KCTJ8xIwEyXd0JSxgIP
m,16,L12_3,ch7OFMBWEEVGDhoxoWjvjhB2IpJFkgIw5IwTClVop5OgppSSZupUT7KbVZZg_ebZ
f,35,L34_9,ywsXTxmpXPDxvzmBwY2d-aPQgG0lD97v8sw6oeZHPVss-8iQHREzEI5tjFjqSFII
m,35,L12_4,VkwAYW1oWgcX3vA0SnbIOVoj4KvlzuH-dVy4XJhOglZnHYTpFQNa3Q-a17VSU-FQ
f,35,L34_9,FkeeNzERrW72e4aZC26-TjJtqDZgGkcZERRyvKAfl5ZgCZ1lKg9SS0ido6Nr2dWz
m,35,L12_3,KnmjRNX8JDL9t2oIEDqwQ1zUh26BICIpOIKnsOf3rLbaDuKAJD1CW4pZ1r0HN4AG
m,16,L34_7,MO7MDrYo4X5C4pEGj9BfYSZJKjKKkVXQooL51fOS8XrECnKYBu3m7p7f_jJnAP8W
f,16,L12_4,5FIxXbAQiiorTJM6T2ACd6eW8NErjp-CphfbdF4OP2sM1jz_Ml_Jdbh0epWqMvfz
m,35,app_5,Y5zvxyFwdvAQNpz52b3kPT-7pGad-Qc5OSxp73yi8amIpZ3rgwUu134tOSF8BP05
f,50,L34_9,RE9vKNTkx-eqq3CPMU41vsSLoJfi0UBKdn0tuAA1HyTnDwaSbR1gs3ySSp5FUgzE
m,16,L34_6,9-n__gpjcwh3Zq-Q7rKoelNJtJuaOwuZIYcrT_3EIPw4U97OtDPAExm5DDvUD8Er
m,35,L12_4,VCThLg7qrwl-f2xmdOjqxJDpuo-Ss6CGQTolERe5guemnFmteSEuse9AIpeo02VS
f,16,L12_1,HYYVxlcW41GHks3m8FHEVs48Zz_4CavgcordwKSoO5PaQABm_nAYQlaleym6frWL
f,35,L12_1,0NgR0NZnC32wtzDIxpGC1-T16UdxRP8PG2eVmujkefwd5VDym6UQOfJFQ0DofHSW
m,16,L34_8,zgO5EtGghQ3v99iH19ihpmFs-icEJ_BpLNEG8GGwQGxSAK2rrbN6HxyYkPbccuXV
m,50,app_13,miQU7siUrQxbYi-YlnuT96tB2BV44I6IBkHfguvY1ngYE1kAemHOzuWaGgWNX4CV
m,50,app_13,Gh10YLw0NwoS8yka-M-Fgst4uKmNmCDC7FA7dhxRHJfxltEdChu4S1aqANSk0Nl2
m,35,app_13,ThR0MCZ94R0RLRSTdToTB42MMkOntGsva5yHmHo9JgLdXLbqKE5e2HCLGZS8G0vW
f,50,L12_2,B_btbF7vPOeP4jHapc7O0ppWlkGou1eLpbZQ86JVMhEGK7taLGzBarcwwdqKUqF3
m,50,app_13,DPjOEbk2NkyTQ8OcwpMmAZ0xtqd2OLJKnnLVOlgYUKrK5CqT0bw4FpFVmD5qU0jj
f,16,app_11,lcbLzTBwADrewStU--qGc01WEvyL2YwYgp-kxA2hoTmE2VSe2iGt2M4B3lAmig7e
f,50,app_13,JES_K5_mkV2hR2ndYBik6O_zinVbVHWNzkCxlPU7QiI28kUwBS2fWWqUmtUOm1Zp
m,50,app_13,L2kagd5ZCt8kBUyexb1U7xJe92VG_fUixwIxzUw9kMLUeYxMB3Z7l2FmTIMkGwpS
m,50,app_13,rsLtA6cHpnGe8L-b5Iqx8LP76PeVwUJGd4NLeqKQNATUlHoKvHKyEtJdLspTfstv
f,50,L12_1,qrUF4F56YdnS75XYYWvxxuQfFJtWIQDBpJ-zKIiXSYQmznijTpQqquSaRJ6UwR_4
f,50,app_13,SqV8zs0IsbOL1wNcq-qmsECfQhoeaa72m1ObQlAljWMhlXg3k8x-nVkulu1Kj0a5
m,50,app_13,vKL7IJFUsRukipFbagi_E6JuBnoPTLSDPdATL_STmaJqBwny1mL5IlCvQvEv-uvb
m,50,app_13,PryKrl2M5VKGjCyUBhrt5jIRTibA75ItRNfxIjOXicSLBd8VQX66kk2PorCMTx4z
f,35,app_13,Kw4Yq4yGo_vrGg0sTP5yQQ3TGpJEe2v2AQCi4pTW1hqrGb6F9-l3tZwdm8C5EUy6
f,50,app_13,hmD6wDr1SwZguu1nyVRlccMFjwJf2EIUALvpoTr1JOX3Y2qbpaWfnLImllhPxizn
m,35,L12_3,UJysojjbCp74cD4o4oSPhy8toLguvcOkXS5BciXCd3DE6rv0usIWWasl7GkkDcAG
m,50,app_13,43jg_vvjXXv8p6NbtxyBfaWZVVtl205YaU6ZHl7kvGiBzHkVLpnrbhkUkXnObS7c
m,50,app_13,7xHBa_g318jtkCHRyTTt0ghIYg-hg6d8kKm3NQQ_WEKKhu4mflTd8m5x5uaTS4iX
m,50,app_13,AUeaYF_QtFlUmHpI3AT98aBlSpHUwRwFCwxEZ2BtwBFPfdjC1Rd-QFUKlgw87JSa
m,16,app_5,-oH790gtwbvmlcRN6SFF68MoJYlyFSph3ZCAWjb0XLOhnAd-ujXN5pvHrwNLIsao
m,50,app_13,rnArUib0_UXOuNSo__XXVPRyb4Hn0T-GjiZF-ZGIHeEQmNf5MF6M9vq70Khs43MA
f,35,app_13,oVK3D8PCkGP85piwVUyE8g5rhoy6qop8VCpgZYdy_gfVzpXoiVLeEZ9Zh7GHGMPv
m,50,app_5,V30fg0oq38n-ymrmokApW6sUT5k6l1M1BjCUjLdlohLhGoi-mLy5cD5SW9Hi8dMD
m,50,app_13,syZnvLDPhm2CM_fmZnMTwhbe3FTMcUndwe0z0nW1rcXnXBQ7W3cZvHJzUrKkO441
m,50,app_13,RyZaGR9LYuKxGQEzrNnYt89oSxye5W5l7LUnQ8MoCU7zCG-Y8GmNKFTyBxDVV8Al
m,35,app_13,-huOfYx3E11IqN5_a8Hr4pXoGwJfPD3UDA2H2CXqv4R16S7SLqZuzmkUZFHp5cfJ
f,50,L12_1,YLL4Z4lq6sHhhAxUbrDLnHEXelAcWHT0rnoLszG9hmkaPg2LE-3szYaVh407Konx
m,35,L12_3,aMoy5ciORJP177pi_BXmpfyeAxUF_k_lZZY3vrHu39prnI1CT20UX6uVOPlR0qL6
f,50,app_13,t-HrKJBK-ux9RAofRiD7BlqGW0HfB8XQHPs9J_kXjpcX948XhX-k2QKwVSxJeOlF
f,35,L12_4,yviGGGFRUwTS30NKB73jVbt-Rjo79j7lwi0iqnj3Rz18qw0eE_HXf7EteooPuzCk
f,35,app_13,5gI_RH5lHnsmYxWoda5GymXzpmo-P3AVuXou4A470ebaB8CbrG7aDdZ7IkDqQ0CK
f,35,L12_4,_fyDn-juXKjwWXBI9VVRJAfEagCXUITFtUXWtfbU0OcxGXySuTC12LaXanXJlRKt
f,16,app_12,6-MnINXkELP5sYvo6U92sL9qQMsCeRdJcGq5D5_Mjz9TGoSJQR1xsRGcQPmrDdGl
f,50,app_13,Yr5KuqXzXlD2U6XHP4i5x0b1a2AS_0vHBthLTlkOQIG30QljkS2ZvQOht-My8Vla
