session,created,modified,ended,expired,treat,treat1,treat2,first_topic,abs1_tsm_1,abs1_tsm_2,abs1_tsm_3,abs1_tsm_4,abs1_tsc_1,abs1_tsc_2,abs1_tsc_3,abs1_tru_exp_1,abs1_tru_exp_2,abs1_tru_exp_3,abs1_tru_exp_4,abs1_tru_exp_5,abs1_tru_exp_6,abs1_tru_int_1,abs1_tru_int_2,abs1_tru_int_3,abs1_tru_int_4,abs1_tru_ben_1,abs1_tru_ben_2,abs1_tru_ben_3,abs1_tru_ben_4,abs1_tch_1,abs1_tch_2,abs1_tch_3,abs1_tch_4,abs1_tch_5,abs2_tsm_1,abs2_tsm_2,abs2_tsm_3,abs2_tsm_4,abs2_tsc_1,abs2_tsc_2,abs2_tsc_3,abs2_tru_exp_1,abs2_tru_exp_2,abs2_tru_exp_3,abs2_tru_exp_4,abs2_tru_exp_5,abs2_tru_exp_6,abs2_tru_int_1,abs2_tru_int_2,abs2_tru_int_3,abs2_tru_int_4,abs2_tru_ben_1,abs2_tru_ben_2,abs2_tru_ben_3,abs2_tru_ben_4,abs2_tch_1,abs2_tch_2,abs2_tch_3,abs2_tch_4,abs2_tch_5,tsm_1,tsm_2,tsm_3,country,country_oth
jmXqGDrzzrDuxR2WWaEOXhQCDrMrl8Bss3QmfzJt-KF1iSuEjCavV_qNPvoNG6zT,2020-12-18 09:07:51,2020-12-18 09:21:38,2020-12-18 09:21:38,NA,cb,cb,gb,robot,1,4,2,4,4,1,4,1,2,2,2,2,1,2,2,2,2,2,2,2,2,3,4,4,-999,-999,2,2,1,3,3,2,3,2,2,3,2,2,3,3,2,3,3,2,2,3,3,2,-999,-999,-999,-999,4,3,3,1,NA
NRQ0_wBBey7vaCUtl6jezbE_WHE43itbk1X6Dx5z-dgd2RZ3pnk8iJt5BQS9Cqos,2020-12-18 09:09:45,2020-12-18 14:44:00,2020-12-18 14:44:00,NA,cc,cc,gb,robot,3,3,3,3,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,3,3,3,3,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,2,3,2,1,NA
blAMCc3iG-VK9Se0EVwFET-bQltKw41TosKPKcIPFrgpIwi0nc1Y975FR7zuWCrP,2020-12-18 09:32:54,2020-12-18 09:35:53,2020-12-18 09:35:53,NA,gb,gb,cc,robot,2,2,2,2,2,2,2,3,1,2,2,2,2,3,3,3,3,3,3,2,3,3,-999,-999,3,3,3,2,3,3,3,4,4,4,2,3,3,3,3,4,3,3,4,3,4,4,5,2,4,4,4,3,2,2,3,1,NA
bpeDCJ0qmwNMTZIJY1hfz4OxJ3J7EVj0JOBQvusuM_TL0X7Sd8usZYRUtqW3-o-o,2020-12-18 09:45:11,2020-12-18 10:00:26,2020-12-18 10:00:26,NA,gb,gb,cb,moral,2,2,3,3,3,3,2,5,4,5,5,5,5,3,3,4,5,3,5,4,4,3,3,-999,3,-999,3,2,2,3,3,2,3,3,3,3,3,3,3,3,4,3,4,4,4,3,4,-999,4,3,3,3,3,4,3,1,NA
1XmVFSbwHE2n4_vORK8YqkTySq0wUdFSRgyBImjS_00UoYq0m1PdNaPlEreQc94z,2020-12-18 09:46:15,2020-12-18 09:52:07,2020-12-18 09:52:07,NA,gb,gb,cb,robot,3,2,2,3,2,3,3,3,3,3,3,4,2,4,4,4,3,4,4,2,3,3,3,4,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,3,4,4,4,4,3,3,3,3,3,4,3,2,1,NA
kH0DnySk4M_GBv3zaHi2WVuw1CsgBZXBVLvxdfp-OdxIYLLzW_zjmADXrGxqa3ro,2020-12-18 10:01:09,2020-12-18 10:18:13,2020-12-18 10:18:13,NA,gb,gb,cc,robot,3,3,3,3,2,3,2,4,4,4,4,4,4,4,4,4,4,5,4,4,4,1,1,1,1,1,2,3,3,3,2,2,2,3,4,4,4,3,3,4,3,4,4,4,4,4,4,3,2,2,2,2,3,4,3,1,NA
H3d7WB_dmNVFGcvJbEDJ9md2-MFaFsNsi5Wh1KP9y5v0AoKlP0dUQ1_OYz7CScNU,2020-12-18 10:17:51,2020-12-18 10:24:57,2020-12-18 10:24:58,NA,gb,gb,cc,robot,2,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,2,3,3,2,1,-999,1,1,1,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-999,-999,-999,-999,-999,4,4,2,1,NA
fYG3EL6ixDvPKy75k9Jzm9YiFGhyD9KPkXLhcybBdynNnY-ZX0sMZkf8K-Yo0PCJ,2020-12-18 10:20:34,2020-12-18 10:27:41,2020-12-18 10:27:41,NA,cc,cc,gb,robot,2,4,2,4,3,1,4,1,1,2,1,2,2,1,1,2,1,2,1,2,2,4,4,3,4,-999,3,4,3,3,3,1,3,2,2,2,1,3,2,2,3,3,2,3,2,2,3,4,4,-999,4,4,2,3,1,1,NA
iwHZZ2me3qU3hXEdJsUDeUwQA0GQCBu9ofTK03RKqvyXSPYlEkfi95UHmrA_Y_0z,2020-12-18 10:32:54,2020-12-18 10:41:13,2020-12-18 10:41:13,NA,gb,gb,cb,moral,4,4,2,4,1,4,1,7,4,3,6,4,3,4,6,6,7,6,7,7,3,2,2,2,1,2,2,2,2,2,2,3,2,6,6,4,5,3,5,2,4,2,2,3,4,3,3,3,4,4,3,4,1,4,1,1,NA
Fprw2q3bL5VR3yamA0f42uZbjFf6tTyf9VkVP2coBvXh94G6jb3PzrIxnsZHRemr,2020-12-18 10:55:11,2020-12-18 10:57:35,2020-12-18 10:57:35,NA,cc,cc,cb,robot,2,2,2,2,3,2,3,1,1,1,2,2,1,2,2,2,2,2,2,1,1,3,3,3,3,3,2,2,2,2,3,2,3,1,2,1,2,1,1,2,1,2,2,2,2,1,2,3,3,3,3,3,3,4,3,1,NA
