session;created;modified;ended;expired;treat;variable;value;treat_nr
nN7xyeorz_CnSmS4AMFbOmKr7Uhj4quNWaEhTyT4hGq_MSCxIrFVHtH78b-sDdqh;2019-10-29 23:07:49;2019-11-04 18:44:35;2019-11-04 18:44:35;NA;nonvis;tru_ben_3;   1;1
nN7xyeorz_CnSmS4AMFbOmKr7Uhj4quNWaEhTyT4hGq_MSCxIrFVHtH78b-sDdqh;2019-10-29 23:07:49;2019-11-04 18:44:35;2019-11-04 18:44:35;NA;nonvis;tru_ben_4;   3;1
nN7xyeorz_CnSmS4AMFbOmKr7Uhj4quNWaEhTyT4hGq_MSCxIrFVHtH78b-sDdqh;2019-10-29 23:07:49;2019-11-04 18:44:35;2019-11-04 18:44:35;NA;nonvis;tch_4;   3;1
nN7xyeorz_CnSmS4AMFbOmKr7Uhj4quNWaEhTyT4hGq_MSCxIrFVHtH78b-sDdqh;2019-10-29 23:07:49;2019-11-04 18:44:35;2019-11-04 18:44:35;NA;nonvis;tch_5;   1;1
nN7xyeorz_CnSmS4AMFbOmKr7Uhj4quNWaEhTyT4hGq_MSCxIrFVHtH78b-sDdqh;2019-10-29 23:07:49;2019-11-04 18:44:35;2019-11-04 18:44:35;NA;nonvis;tch_1;   3;1
nN7xyeorz_CnSmS4AMFbOmKr7Uhj4quNWaEhTyT4hGq_MSCxIrFVHtH78b-sDdqh;2019-10-29 23:07:49;2019-11-04 18:44:35;2019-11-04 18:44:35;NA;nonvis;tch_2;-999;1
nN7xyeorz_CnSmS4AMFbOmKr7Uhj4quNWaEhTyT4hGq_MSCxIrFVHtH78b-sDdqh;2019-10-29 23:07:49;2019-11-04 18:44:35;2019-11-04 18:44:35;NA;nonvis;tch_3;   3;1
8gccCdkDKApal4x9Ah0kq7kh9RA29-Af-CZsFSqofTMk5cwK2sax3vN2QINb38Lw;2019-11-04 07:18:13;NA;NA;NA;nonosp;tsm_1;NA;1
8gccCdkDKApal4x9Ah0kq7kh9RA29-Af-CZsFSqofTMk5cwK2sax3vN2QINb38Lw;2019-11-04 07:18:13;NA;NA;NA;nonosp;tsm_2;NA;1
8gccCdkDKApal4x9Ah0kq7kh9RA29-Af-CZsFSqofTMk5cwK2sax3vN2QINb38Lw;2019-11-04 07:18:13;NA;NA;NA;nonosp;tsm_3;NA;1
8gccCdkDKApal4x9Ah0kq7kh9RA29-Af-CZsFSqofTMk5cwK2sax3vN2QINb38Lw;2019-11-04 07:18:13;NA;NA;NA;nonosp;tsm_4;NA;1
8gccCdkDKApal4x9Ah0kq7kh9RA29-Af-CZsFSqofTMk5cwK2sax3vN2QINb38Lw;2019-11-04 07:18:13;NA;NA;NA;nonosp;tsc_1;NA;1
8gccCdkDKApal4x9Ah0kq7kh9RA29-Af-CZsFSqofTMk5cwK2sax3vN2QINb38Lw;2019-11-04 07:18:13;NA;NA;NA;nonosp;tsc_2;NA;1
8gccCdkDKApal4x9Ah0kq7kh9RA29-Af-CZsFSqofTMk5cwK2sax3vN2QINb38Lw;2019-11-04 07:18:13;NA;NA;NA;nonosp;tsc_3;NA;1
8gccCdkDKApal4x9Ah0kq7kh9RA29-Af-CZsFSqofTMk5cwK2sax3vN2QINb38Lw;2019-11-04 07:18:13;NA;NA;NA;nonosp;tru_exp_1;NA;1
8gccCdkDKApal4x9Ah0kq7kh9RA29-Af-CZsFSqofTMk5cwK2sax3vN2QINb38Lw;2019-11-04 07:18:13;NA;NA;NA;nonosp;tru_exp_2;NA;1
8gccCdkDKApal4x9Ah0kq7kh9RA29-Af-CZsFSqofTMk5cwK2sax3vN2QINb38Lw;2019-11-04 07:18:13;NA;NA;NA;nonosp;tru_exp_3;NA;1
8gccCdkDKApal4x9Ah0kq7kh9RA29-Af-CZsFSqofTMk5cwK2sax3vN2QINb38Lw;2019-11-04 07:18:13;NA;NA;NA;nonosp;tru_exp_4;NA;1
8gccCdkDKApal4x9Ah0kq7kh9RA29-Af-CZsFSqofTMk5cwK2sax3vN2QINb38Lw;2019-11-04 07:18:13;NA;NA;NA;nonosp;tru_exp_5;NA;1
8gccCdkDKApal4x9Ah0kq7kh9RA29-Af-CZsFSqofTMk5cwK2sax3vN2QINb38Lw;2019-11-04 07:18:13;NA;NA;NA;nonosp;tru_exp_6;NA;1
8gccCdkDKApal4x9Ah0kq7kh9RA29-Af-CZsFSqofTMk5cwK2sax3vN2QINb38Lw;2019-11-04 07:18:13;NA;NA;NA;nonosp;tru_int_1;NA;1
8gccCdkDKApal4x9Ah0kq7kh9RA29-Af-CZsFSqofTMk5cwK2sax3vN2QINb38Lw;2019-11-04 07:18:13;NA;NA;NA;nonosp;tru_int_2;NA;1
8gccCdkDKApal4x9Ah0kq7kh9RA29-Af-CZsFSqofTMk5cwK2sax3vN2QINb38Lw;2019-11-04 07:18:13;NA;NA;NA;nonosp;tru_int_3;NA;1
8gccCdkDKApal4x9Ah0kq7kh9RA29-Af-CZsFSqofTMk5cwK2sax3vN2QINb38Lw;2019-11-04 07:18:13;NA;NA;NA;nonosp;tru_int_4;NA;1
8gccCdkDKApal4x9Ah0kq7kh9RA29-Af-CZsFSqofTMk5cwK2sax3vN2QINb38Lw;2019-11-04 07:18:13;NA;NA;NA;nonosp;tru_ben_1;NA;1
8gccCdkDKApal4x9Ah0kq7kh9RA29-Af-CZsFSqofTMk5cwK2sax3vN2QINb38Lw;2019-11-04 07:18:13;NA;NA;NA;nonosp;tru_ben_2;NA;1
8gccCdkDKApal4x9Ah0kq7kh9RA29-Af-CZsFSqofTMk5cwK2sax3vN2QINb38Lw;2019-11-04 07:18:13;NA;NA;NA;nonosp;tru_ben_3;NA;1
8gccCdkDKApal4x9Ah0kq7kh9RA29-Af-CZsFSqofTMk5cwK2sax3vN2QINb38Lw;2019-11-04 07:18:13;NA;NA;NA;nonosp;tru_ben_4;NA;1
8gccCdkDKApal4x9Ah0kq7kh9RA29-Af-CZsFSqofTMk5cwK2sax3vN2QINb38Lw;2019-11-04 07:18:13;NA;NA;NA;nonosp;tch_1;NA;1
8gccCdkDKApal4x9Ah0kq7kh9RA29-Af-CZsFSqofTMk5cwK2sax3vN2QINb38Lw;2019-11-04 07:18:13;NA;NA;NA;nonosp;tch_2;NA;1
8gccCdkDKApal4x9Ah0kq7kh9RA29-Af-CZsFSqofTMk5cwK2sax3vN2QINb38Lw;2019-11-04 07:18:13;NA;NA;NA;nonosp;tch_3;NA;1
8gccCdkDKApal4x9Ah0kq7kh9RA29-Af-CZsFSqofTMk5cwK2sax3vN2QINb38Lw;2019-11-04 07:18:13;NA;NA;NA;nonosp;tch_4;NA;1
8gccCdkDKApal4x9Ah0kq7kh9RA29-Af-CZsFSqofTMk5cwK2sax3vN2QINb38Lw;2019-11-04 07:18:13;NA;NA;NA;nonosp;tch_5;NA;1
8gccCdkDKApal4x9Ah0kq7kh9RA29-Af-CZsFSqofTMk5cwK2sax3vN2QINb38Lw;2019-11-04 07:18:13;NA;NA;NA;nonvis;tsm_1;NA;1
8gccCdkDKApal4x9Ah0kq7kh9RA29-Af-CZsFSqofTMk5cwK2sax3vN2QINb38Lw;2019-11-04 07:18:13;NA;NA;NA;nonvis;tsm_2;NA;1
8gccCdkDKApal4x9Ah0kq7kh9RA29-Af-CZsFSqofTMk5cwK2sax3vN2QINb38Lw;2019-11-04 07:18:13;NA;NA;NA;nonvis;tsm_3;NA;1
8gccCdkDKApal4x9Ah0kq7kh9RA29-Af-CZsFSqofTMk5cwK2sax3vN2QINb38Lw;2019-11-04 07:18:13;NA;NA;NA;nonvis;tsm_4;NA;1
8gccCdkDKApal4x9Ah0kq7kh9RA29-Af-CZsFSqofTMk5cwK2sax3vN2QINb38Lw;2019-11-04 07:18:13;NA;NA;NA;nonvis;tsc_1;NA;1
8gccCdkDKApal4x9Ah0kq7kh9RA29-Af-CZsFSqofTMk5cwK2sax3vN2QINb38Lw;2019-11-04 07:18:13;NA;NA;NA;nonvis;tsc_2;NA;1
8gccCdkDKApal4x9Ah0kq7kh9RA29-Af-CZsFSqofTMk5cwK2sax3vN2QINb38Lw;2019-11-04 07:18:13;NA;NA;NA;nonvis;tsc_3;NA;1
8gccCdkDKApal4x9Ah0kq7kh9RA29-Af-CZsFSqofTMk5cwK2sax3vN2QINb38Lw;2019-11-04 07:18:13;NA;NA;NA;nonvis;tru_exp_1;NA;1
8gccCdkDKApal4x9Ah0kq7kh9RA29-Af-CZsFSqofTMk5cwK2sax3vN2QINb38Lw;2019-11-04 07:18:13;NA;NA;NA;nonvis;tru_exp_2;NA;1
8gccCdkDKApal4x9Ah0kq7kh9RA29-Af-CZsFSqofTMk5cwK2sax3vN2QINb38Lw;2019-11-04 07:18:13;NA;NA;NA;nonvis;tru_exp_3;NA;1
8gccCdkDKApal4x9Ah0kq7kh9RA29-Af-CZsFSqofTMk5cwK2sax3vN2QINb38Lw;2019-11-04 07:18:13;NA;NA;NA;nonvis;tru_exp_4;NA;1
8gccCdkDKApal4x9Ah0kq7kh9RA29-Af-CZsFSqofTMk5cwK2sax3vN2QINb38Lw;2019-11-04 07:18:13;NA;NA;NA;nonvis;tru_exp_5;NA;1
8gccCdkDKApal4x9Ah0kq7kh9RA29-Af-CZsFSqofTMk5cwK2sax3vN2QINb38Lw;2019-11-04 07:18:13;NA;NA;NA;nonvis;tru_exp_6;NA;1
8gccCdkDKApal4x9Ah0kq7kh9RA29-Af-CZsFSqofTMk5cwK2sax3vN2QINb38Lw;2019-11-04 07:18:13;NA;NA;NA;nonvis;tru_int_1;NA;1
